id,name,category,priority,maturity,phase,existingBasis,action,dependencies,module,definitionOfDone
WX-005,Local Bias Correction,Weather,P1,IMPLEMENTED_FOUNDATION,Wave 2,No canonical bias service,"Correct by location, variable, lead and regime",WX-004;HF-007,weather/ensemble.js,Official KMA output and Earthus analysis are labelled separately and calibrated before public probabilities
WX-006,Radar/Satellite Nowcast,Weather,P1,IMPLEMENTED_FOUNDATION,Wave 2,Radar/satellite/lightning inputs exist,Advection + growth/decay + NWP blend,WX-002;VIS-004,weather/nowcast.js,Official KMA output and Earthus analysis are labelled separately and calibrated before public probabilities
WX-007,Weather Event Detector,Weather,P1,SPECIFIED_NEXT,Wave 2,Warnings/events feature-specific,"Detect fronts, convergence and rapid cooling as evidence",WX-006,,Official KMA output and Earthus analysis are labelled separately and calibrated before public probabilities
WX-008,Moisture Source Attribution,Weather,P1,IMPLEMENTED_FOUNDATION,Wave 2,TPW/SST/wind exist,Trajectory/flux/ascent multi-signal contribution,WX-002,weather/moisture-attribution.js,Official KMA output and Earthus analysis are labelled separately and calibrated before public probabilities
WX-009,SST Anomaly Support,Weather,P1,REUSE_WITH_ADAPTER,Wave 2,OISST/SST anomaly layer exists,Feed support evidence without claiming SST alone caused rain,WX-008,weather/moisture-attribution.js,Official KMA output and Earthus analysis are labelled separately and calibrated before public probabilities
WX-010,Cyclone Remnant Interaction,Weather,P1,SPECIFIED_NEXT,Wave 2,Official cyclone tracks exist,Track remnant moisture/front/jet interactions,WX-008,,Official KMA output and Earthus analysis are labelled separately and calibrated before public probabilities
WX-011,Forecast Gap Scanner,Weather,P1,IMPLEMENTED_FOUNDATION,Wave 2,No divergence service,Official forecast vs persistent calibrated consensus,WX-004;WX-005,weather/forecast-gap.js,Official KMA output and Earthus analysis are labelled separately and calibrated before public probabilities
WX-012,Evidence Graph,Weather,P1,IMPLEMENTED_FOUNDATION,Wave 2,No claim-level graph,Store supporting/counter evidence and expiry,WX-003,weather/evidence-graph.js,Official KMA output and Earthus analysis are labelled separately and calibrated before public probabilities
WX-013,Weather Claim Gate,Weather,P1,IMPLEMENTED_FOUNDATION,Wave 2,No sentence-level gate,Block unsupported causal or numerical claims,WX-012,weather/evidence-graph.js,Official KMA output and Earthus analysis are labelled separately and calibrated before public probabilities
WX-014,Weather Narrative Composer,Weather,P1,IMPLEMENTED_FOUNDATION,Wave 2,Weather Brief slot exists,Compose KMA-labelled summary and Earthus-labelled analysis,WX-013;WX-001,weather/narrative.js,Official KMA output and Earthus analysis are labelled separately and calibrated before public probabilities
WX-015,Weather Action Intelligence,Weather,P1,SPECIFIED_NEXT,Wave 2,Watch/push foundations exist,Translate weather to schedule/activity impacts,WX-014;HF-015,,Official KMA output and Earthus analysis are labelled separately and calibrated before public probabilities
WX-016,Precipitation State Engine,Weather,P1,IMPLEMENTED_FOUNDATION,Wave 2,Radar/gauge/model exist separately,Keep precipitation separate from cloud and fuse observed sources,WX-002,weather/precipitation.js,Official KMA output and Earthus analysis are labelled separately and calibrated before public probabilities
WX-017,Precipitation Nowcast,Weather,P1,IMPLEMENTED_FOUNDATION,Wave 2,No common precipitation nowcast,Use scalar advection and growth/decay foundation,WX-006;WX-016,weather/nowcast.js,Official KMA output and Earthus analysis are labelled separately and calibrated before public probabilities
WX-018,Rain/Snow Phase Engine,Weather,P1,IMPLEMENTED_FOUNDATION,Wave 2,Phase is source-specific,Wet-bulb and layer-aware phase foundation,WX-002,weather/precipitation.js,Official KMA output and Earthus analysis are labelled separately and calibrated before public probabilities
WX-019,Rain Curtain Renderer,Weather,P1,IMPLEMENTED_FOUNDATION,Wave 2,Radar is 2D imagery,Device-aware curtain plus near particles only when justified,WX-016;VIS-006,weather/precipitation.js,Official KMA output and Earthus analysis are labelled separately and calibrated before public probabilities
WX-020,Weather Ground Truth and ModelOps,Weather,P1,SPECIFIED_NEXT,Wave 2,Forecast boundary exists; outputs not released,Store run/valid/actual by region and horizon,HF-007;OPS-006,,Official KMA output and Earthus analysis are labelled separately and calibrated before public probabilities
