test_id,module_id,domain,case,automation,gate,status,evidence_path
ICM-001,E40,INTELLIGENCE,DIRECT_SIGNAL cannot create Event before Signal Gate,AUTOMATED,REQUIRED,NOT_RUN,
ICM-002,E41,INTELLIGENCE,CONTEXT_ONLY direct Event create request rejected,AUTOMATED,REQUIRED,NOT_RUN,
ICM-003,E43,INTELLIGENCE,CONSUMER/UI factor cannot mutate scientific Confidence,AUTOMATED,REQUIRED,NOT_RUN,
ICM-004,E43,INTELLIGENCE,Subscription tier change leaves scientific Confidence/Uncertainty hash unchanged,AUTOMATED,REQUIRED,NOT_RUN,
ICM-005,E31,ORBIT,Counterfactual Benefit cannot be persisted as OBSERVED,AUTOMATED,REQUIRED,NOT_RUN,
ICM-006,E26,ORBIT,Fragmentation scenario always carries SIMULATION_ONLY/model/seed/assumption,AUTOMATED,REQUIRED,NOT_RUN,
ICM-007,E32,ORBIT,Affected Subgraph helper output not exposed directly as Intelligence Event,AUTOMATED,REQUIRED,NOT_RUN,
ICM-008,E34,VISUAL,3D render/LOD changes leave scientific result hash unchanged,AUTOMATED,REQUIRED,NOT_RUN,
ICM-009,E35,VISUAL,Camera/Semantic Zoom does not alter science subset,AUTOMATED,REQUIRED,NOT_RUN,
ICM-010,E36,VISUAL,Orbital shell visibility does not alter risk/conjunction computation set,AUTOMATED,REQUIRED,NOT_RUN,
ICM-011,E37,VISUAL,Visual semantics cannot relabel MODEL/SIMULATION as OBSERVED,AUTOMATED,REQUIRED,NOT_RUN,
ICM-012,E19,CONTROL,Historical Replay cannot create current real-world Event,AUTOMATED,REQUIRED,NOT_RUN,
ICM-013,E30,ORBIT,Rejected/quarantined citizen observation cannot affect Intelligence,AUTOMATED,REQUIRED,NOT_RUN,
ICM-014,E30,ORBIT,Accepted observation adds Evidence then triggers bounded re-evaluation,AUTOMATED,REQUIRED,NOT_RUN,
ICM-015,E20,ORBIT,Periodic orbit updates are reduced by change/signal gate before Event candidate,AUTOMATED,REQUIRED,NOT_RUN,
ICM-016,E16,CONTROL,Telemetry and modelled trajectory remain separate EvidenceClass,AUTOMATED,REQUIRED,NOT_RUN,
ICM-017,E22,ORBIT,No covariance means no Pc even if UI/LLM requests it,AUTOMATED,REQUIRED,NOT_RUN,
ICM-018,E38,INTELLIGENCE,Orchestrator invokes INTELLIGENCE_TOOL only through approved contract,AUTOMATED,REQUIRED,NOT_RUN,
ICM-019,E44,INTELLIGENCE,Decision result is advisory/research and cannot emit spacecraft command,AUTOMATED,REQUIRED,NOT_RUN,
ICM-020,L06,LLM,Claim validator rejects or qualifies numeric claim absent from Intelligence Packet,AUTOMATED,REQUIRED,NOT_RUN,
