id,name,domain,priority,module,formula,inputs,outputs,guardrails,status
ALG-OPS-012,Source operation governance matrix for paid use,Operations/Governance,P1,ops/source-governance-paid-use.js,explicit rights per display/cache/history/derivative/paidAnalysis/export/apiResale/aiUse,source rights;operation,ALLOWED/BLOCKED;reason;attribution,No implied commercial right;Paid/export/API separate permissions;Blocked rights fail closed,IMPLEMENTED_FOUNDATION
ALG-PAY-009,Evidence-linked report/API delivery authorization,Paid/Business,P2,paid/report-api-engine.js,every section needs evidence; delivery requires quota + source-operation rights,sections;evidence index;source governance;quota,report payload;delivery authorization,No evidence-free section;Export/API blocked without rights;No restricted raw source leakage,IMPLEMENTED_FOUNDATION
ALG-VIS-012,Truth-preserving tower spatial mode and stable pool,Visual,P0,visual/tower-runtime-v2.js,actual cell only with provider geometry evidence; else aggregate cluster or approved estimated distribution,records;geometry evidence;device/thermal budget,stable tower frame;spatial mode;pool update,No fabricated precision;Estimated distribution must be labelled;Time updates reuse stable IDs,IMPLEMENTED_FOUNDATION
ALG-ACT-001,Public action source trust resolution,Earth Pulse/Public Action,P0,action/source-registry.js,source type -> explicit trust rank + official flag + allowed operations,source type;organization;rights/operations,trust rank;official;allowed operations;attribution,Unknown source is never official;Commercial/redisplay rights remain separate,IMPLEMENTED_FOUNDATION
ALG-ACT-002,Public action normalization and classification,Earth Pulse/Public Action,P0,action/normalization.js,rule-backed activity/topic classification over title+summary while preserving source fields,title;summary;source metadata,activity type;topics;canonical action record,No invented schedule;No invented location;Raw/source URL retained,IMPLEMENTED_FOUNDATION
ALG-ACT-003,Public action status resolution,Earth Pulse/Public Action,P0,action/status-resolver.js,cancelled > future start=SCHEDULED > within interval=ACTIVE > open-ended started=ONGOING > ended=COMPLETED > UNKNOWN,startsAt;endsAt;cancelled;now,action status,No ACTIVE without published time evidence unless explicit ongoing campaign,IMPLEMENTED_FOUNDATION
ALG-ACT-004,Public action location precision guard,Earth Pulse/Public Action,P0,action/location-precision.js,explicit public address/coordinates > city > region > country > map disabled,published location fields;coordinatesExplicitlyPublished,map precision;public locator,Never invent exact coordinates;Private/undisclosed locations are map-disabled,IMPLEMENTED_FOUNDATION
ALG-ACT-005,Public action truth classification,Earth Pulse/Public Action,P0,action/trust-verification.js,official source -> OFFICIAL_ACTION; news/community -> capped reported classes,source type;corroboration count,truth class;confidence cap;live-label eligibility,News report cannot become official action;LIVE requires official + ACTIVE,IMPLEMENTED_FOUNDATION
ALG-PUL-001,Earth Pulse priority with safety override,Earth Pulse,P0,pulse/earth-pulse-orchestrator.js,official safety hard priority; else weighted freshness+confidence+geographic relevance+public interest,event severity;freshness;confidence;relevance;interest;kind,priority score,Official warning/hazard cannot be displaced by tourism/news/NGO action,IMPLEMENTED_FOUNDATION
ALG-PUL-002,Pulse scene beacon budget and LOD,Earth Pulse,P0,pulse/pulse-scene-budget.js,"device/scope base budget × thermal factor, sorted by priority",device;scope;thermal;events,max beacon count;selected beacons,No global pin cloud;Mobile budget smaller;Lower-priority events remain accessible in panel,IMPLEMENTED_FOUNDATION
ALG-NEWS-001,News-to-EarthEvent evidence link,News/Earth Pulse,P0,news/news-event-linker.js,topic Jaccard + country/region/city match + time proximity; auto-link only above threshold,news title/summary/location/time;candidate EarthEvents,ranked links;auto-link decision;clusters,Low-confidence news remains unlinked;News text never becomes observation,IMPLEMENTED_FOUNDATION
ALG-TRV-001,Tourism discovery score with safety gates,Tourism Intelligence,P0,tourism/discovery.js,hard gate(closed/restriction/critical hazard) then weighted demand+novelty+relation+diversity+dwell+weather+accessibility,KTO demand/diversity/relations;visit signals;weather;accessibility;safety,EARTHUS_DISCOVERY score;components;exclusion reason,Not an official KTO recommendation;No hidden-gem claim from weak data;Safety gate precedes score,IMPLEMENTED_FOUNDATION
ALG-TRV-002,Travel context reason composition,Tourism Intelligence,P0,tourism/travel-context.js,select bounded evidence-backed reasons for WHY NOW + visit context,discovery components;weather;visit window;nearby;evidence IDs,reasons;context card;disclaimer,No positive claim from missing data;Maximum concise reason set;Evidence IDs required for production,IMPLEMENTED_FOUNDATION
ALG-ENV-001,Pollution evidence state fusion,Environment Intelligence,P0,environment/pollution-lens.js,normalize each signal into AIR/FIRE/OCEAN/LAND + OBSERVED/REPORTED/DETECTED/MODELLED,pollution signals;source IDs;timestamps;confidence,domain layers;evidence legend,Detected/modelled are never labelled measured;Domains remain separate,IMPLEMENTED_FOUNDATION
ALG-ENV-002,Pollution transport proof gate,Environment Intelligence,P0,environment/pollution-lens.js,transport visualization allowed only when transport requested + vector proof + supported evidence kind,transport field;vector proof;evidence kind,allow/block;transport label,No fake direction;Modelled path labelled MODELLED_TRANSPORT;No source attribution from trajectory alone,IMPLEMENTED_FOUNDATION
ALG-BCK-001,Legal ingestion-run transition state machine,Backend/Data Plane,P0,backend/ingestion-run-ledger.js,explicit transition graph PENDING→FETCHING→RAW_STORED→VALIDATING→NORMALIZED→PUBLISHING→PUBLISHED→SUCCEEDED with terminal failure/quarantine,run state;next state;timestamp,updated run + history,Invalid state jumps fail closed; code existence does not imply production success,IMPLEMENTED_FOUNDATION
ALG-BCK-002,Raw artifact SHA-256 receipt,Backend/Data Plane,P0,backend/raw-artifact-store.js,SHA-256(raw bytes) + deterministic provider/operation/date/run object key,raw bytes;provider;operation;run,immutable receipt + object key,Raw bytes stay object storage; PostgreSQL stores metadata only,IMPLEMENTED_FOUNDATION
ALG-BCK-003,Raw-to-normalized provenance link validation,Backend/Data Plane,P0,backend/raw-artifact-store.js,normalized.provenance.rawHash must equal raw receipt SHA-256,raw receipt;normalized envelope,allow/block + reason,No normalized state without exact raw evidence link,IMPLEMENTED_FOUNDATION
ALG-BCK-004,Schema drift severity classifier,Backend/Data Plane,P0,backend/schema-drift.js,required missing/type mismatch=BREAKING; unknown extra fields=ADDITIVE; optional mismatch=WARNING,explicit schema contract;payload,severity;problems;publishAllowed,Breaking drift quarantines; additive fields never auto-change contract,IMPLEMENTED_FOUNDATION
ALG-BCK-005,Monotonic provider watermark,Backend/Data Plane,P0,backend/watermark-revision.js,candidate time may advance/equal but never move persisted watermark backward,current watermark;candidate,new watermark + reason,Late/older responses cannot roll state backward,IMPLEMENTED_FOUNDATION
ALG-BCK-006,Revision supersession resolver,Backend/Data Plane,P0,backend/watermark-revision.js,same hash=duplicate; greater revision/later correction supersedes; ambiguous same revision quarantines,existing revision;incoming revision,accept/reject/quarantine + supersedes,Corrections preserve lineage; no destructive overwrite,IMPLEMENTED_FOUNDATION
ALG-BCK-007,Canonical idempotency-key compiler,Backend/Data Plane,P0,backend/idempotency-dedup.js,provider|operation|externalId-or-rawHash|observedAt,provider metadata;identity/hash;time,stable idempotency key,Missing identity/hash fails closed,IMPLEMENTED_FOUNDATION
ALG-BCK-008,Duplicate versus identity-collision detector,Backend/Data Plane,P0,backend/idempotency-dedup.js,same key+same hash=duplicate; same key+different hash=collision,dedupe window;key;raw hash,duplicate/collision decision,Collision is not silently treated as duplicate,IMPLEMENTED_FOUNDATION
ALG-BCK-009,Provider quota reserve gate,Backend/Data Plane,P0,backend/provider-budget.js,hard remaining check + safety reserve protection + cooldown,remaining quota;requested;reserve;safety;cooldown,allow/block + remainingAfter,Safety receives reserved capacity but cannot exceed real hard provider limit,IMPLEMENTED_FOUNDATION
ALG-BCK-010,Conditional HTTP fetch decision,Backend/Data Plane,P1,backend/conditional-fetch.js,ETag/Last-Modified validators + status classifier,fetch state;response status/headers,NOT_MODIFIED/CHANGED/THROTTLED/RETRYABLE/FATAL,429/5xx never become empty successful datasets,IMPLEMENTED_FOUNDATION
ALG-BCK-011,Durable outbox lease and dispatch,Backend/Operations,P0,backend/outbox-dispatch.js,eligible PENDING/RETRY → CLAIMED lease; success DELIVERED; bounded retry → DEAD,outbox events;lease time;result,updated dispatch state,At-least-once safe with finite retry and dead-letter outcome,IMPLEMENTED_FOUNDATION
ALG-BCK-012,Quarantine evidence release gate,Backend/Operations,P0,backend/quarantine.js,QUARANTINED record may replay only with validator + evidence,quarantine record;validator;evidence,RELEASED_FOR_REPLAY or block,No automatic release after schema/parser/security failure,IMPLEMENTED_FOUNDATION
ALG-BCK-013,Bounded backfill chunk planner,Backend/Operations,P1,backend/backfill-replay.js,"split [start,end) by bounded chunkMs with maxChunks",time window;chunk size;max chunks,ordered replay chunks,Historical work cannot become unbounded job explosion,IMPLEMENTED_FOUNDATION
ALG-BCK-014,Replay priority ordering,Backend/Operations,P1,backend/backfill-replay.js,SAFETY → CURRENT_REPAIR → GROUND_TRUTH → BACKFILL → RESEARCH,replay jobs,priority order,Research/backfill cannot starve current or safety repair,IMPLEMENTED_FOUNDATION
ALG-BCK-015,Canonical EarthEvent merge evidence,Backend/Event Intelligence,P0,backend/canonical-event-store.js,official ID exact match strongest; else topic+location+time threshold; type conflict blocks,two event candidates,merge score + allow/block,Low-confidence event remains separate; no false mega-event,IMPLEMENTED_FOUNDATION
ALG-BCK-016,Event lineage acyclic edge insertion,Backend/Event Intelligence,P0,backend/event-lineage.js,dedupe edges; self-link forbidden; DERIVED_FROM cycle detection,existing edges;candidate edge,new edge set or error,Derived evidence graph remains auditable and acyclic,IMPLEMENTED_FOUNDATION
ALG-BCK-017,Safe Internal API error mapping,Backend/API,P0,backend/api-envelope.js,provider auth/429/5xx → typed public code and bounded redacted message,provider error,API error envelope,Provider secrets/raw body are never exposed to client,IMPLEMENTED_FOUNDATION
ALG-BCK-018,Trace/span correlation and structured log sanitation,Backend/Operations,P0,backend/trace-correlation.js,shared trace ID + child span + recursive secret-key redaction and size bounds,trace context;log fields,safe structured log,No secret/token/API key values or unbounded payloads in logs,IMPLEMENTED_FOUNDATION
ALG-BCK-019,Server secret reference validation,Backend/Security,P0,backend/secret-vault-adapter.js,resolve via injected secret adapter; plaintext secret-like config strings forbidden,secret reference/config,secret value server-side or fail-closed,Browser/docs/config snapshot never contain service secrets,IMPLEMENTED_FOUNDATION
ALG-BCK-020,Release config canonical hash,Backend/Release,P1,backend/release-config-snapshot.js,sorted canonical JSON → SHA-256,non-secret config;release metadata,immutable config snapshot,Rollback/audit can compare exact runtime config without secret capture,IMPLEMENTED_FOUNDATION
ALG-BCK-021,Atomic last-good publish gate,Backend/Data Plane,P0,backend/atomic-publish.js,raw link + schema + freshness + provider health + normalized ref gate before pointer promotion,candidate evidence;current pointer,allow/block then rollback-safe pointer,Invalid/breaking candidate never replaces last-good,IMPLEMENTED_FOUNDATION
ALG-NEWS-002,Governed news-source fetch policy,News/Backend,P0,news/source-registry.js,enabled + termsReviewed + allowAutomatedFetch required; source rights set storage behavior,source config,allow/block + rights contract,No unreviewed automated scraping; snippet/full-text/image rights stay explicit,IMPLEMENTED_FOUNDATION
ALG-NEWS-003,Bounded news normalization and clustering,News/Backend,P0,news/ingestion-cluster.js,bounded title/summary metadata + token similarity/time/location clustering,raw article metadata;source rights,normalized articles + clusters,Full article storage is off by default; repeated coverage does not create pin spam,IMPLEMENTED_FOUNDATION
ALG-BCK-022,Provider registry compile validation,Backend/Governance,P0,backend/provider-registry-compiler.js,unique provider/operation + owner + truth + rights + freshness,p;r;o;v;i;d;e;r; ;o;p;e;r;a;t;i;o;n; ;e;n;t;r;i;e;s,c;o;m;p;i;l;e;d; ;r;e;g;i;s;t;r;y,Drift is explicit; incomplete provider operation fails compile,IMPLEMENTED_FOUNDATION
ALG-BCK-023,Provider registry drift diff,Backend/Governance,P0,backend/provider-registry-compiler.js,keyed operation add/remove/change diff,t;w;o; ;r;e;g;i;s;t;r;i;e;s,d;r;i;f;t; ;r;e;p;o;r;t,Silent registry drift forbidden,IMPLEMENTED_FOUNDATION
ALG-BCK-024,Immutable schema version/hash registration,Backend/Data Plane,P0,backend/versioned-schema-registry.js,provider+operation+version uniquely binds schema hash,s;c;h;e;m;a; ;c;o;n;t;r;a;c;t,r;e;g;i;s;t;e;r;e;d; ;s;c;h;e;m;a,Same version cannot mutate hash,IMPLEMENTED_FOUNDATION
ALG-BCK-025,Schema publish approval gate,Backend/Data Plane,P0,backend/versioned-schema-registry.js,registered approved hash exact match and non-breaking,"r;e;g;i;s;t;e;r;e;d; ;s;c;h;e;m;a;,; ;o;b;s;e;r;v;e;d; ;h;a;s;h;,; ;d;r;i;f;t",a;l;l;o;w;/;b;l;o;c;k,Unapproved schema never publishes,IMPLEMENTED_FOUNDATION
ALG-BCK-026,Distributed lease fencing,Backend/Operations,P0,backend/distributed-job-lease.js,monotonic lease token; only latest valid owner renews/releases,"j;o;b; ;k;e;y;,; ;o;w;n;e;r;,; ;t;t;l",l;e;a;s;e; ;+; ;f;e;n;c;i;n;g; ;t;o;k;e;n,Stale worker cannot publish after newer token,IMPLEMENTED_FOUNDATION
ALG-BCK-027,Cross-source snapshot skew gate,Backend/Data Plane,P0,backend/snapshot-consistency.js,required signal presence + max target skew + cross-signal skew,"s;i;g;n;a;l;s;,; ;t;a;r;g;e;t; ;t;i;m;e",c;o;n;s;i;s;t;e;n;t; ;s;n;a;p;s;h;o;t; ;o;r; ;d;e;g;r;a;d;e;d; ;r;e;a;s;o;n,Different vintages never masquerade as one NOW,IMPLEMENTED_FOUNDATION
ALG-BCK-028,Geo-temporal bounded query,Backend/Query Plane,P0,backend/geotemporal-query.js,bbox + time + type + truth + bounded limit,"c;a;n;o;n;i;c;a;l; ;r;e;c;o;r;d;s;,; ;q;u;e;r;y",o;r;d;e;r;e;d; ;r;e;s;u;l;t;s,Invalid/broad query bounds fail safely,IMPLEMENTED_FOUNDATION
ALG-BCK-029,SingleFlight request coalescing,Backend/Query Plane,P0,backend/request-coalescing.js,one in-flight promise per canonical key,"r;e;q;u;e;s;t; ;k;e;y;,; ;w;o;r;k; ;f;u;n;c;t;i;o;n",s;h;a;r;e;d; ;r;e;s;u;l;t,Failure clears ownership for later retry,IMPLEMENTED_FOUNDATION
ALG-BCK-030,Data-class cache policy resolution,Backend/Query Plane,P0,backend/cache-policy.js,TTL/SWR derived from semantic class and safety,"d;a;t;a; ;c;l;a;s;s;,; ;p;r;o;v;i;d;e;r; ;t;t;l",c;a;c;h;e; ;p;o;l;i;c;y,Safety must revalidate; no stale substitute,IMPLEMENTED_FOUNDATION
ALG-BCK-031,Synthetic route acceptance probe,Backend/Operations,P0,backend/synthetic-runtime-probe.js,status + required fields + timeout + latency,"f;e;t;c;h;e;r;,; ;r;o;u;t;e; ;c;o;n;t;r;a;c;t",p;r;o;b;e; ;e;v;i;d;e;n;c;e,Function/job green status alone is insufficient,IMPLEMENTED_FOUNDATION
ALG-BCK-032,Migration destructive-change detector,Backend/Release,P0,backend/migration-compatibility-gate.js,drop/narrow/not-null without backfill violations,m;i;g;r;a;t;i;o;n; ;o;p;e;r;a;t;i;o;n;s,a;l;l;o;w;/;b;l;o;c;k; ;+; ;v;i;o;l;a;t;i;o;n;s,Protected root/control-plane tables fail closed,IMPLEMENTED_FOUNDATION
ALG-BCK-033,Restore drill manifest verification,Backend/Recovery,P1,backend/restore-drill-verifier.js,required keys + checksum verification,"m;a;n;i;f;e;s;t;,; ;r;e;s;t;o;r;e;d; ;s;e;t",r;e;s;t;o;r;e; ;e;v;i;d;e;n;c;e,Backup existence alone is not recovery proof,IMPLEMENTED_FOUNDATION
ALG-BCK-034,Query resource budget gate,Backend/Query Plane,P0,backend/query-budget-guard.js,rows/bytes/cpu estimate against budget,"q;u;e;r;y; ;e;s;t;i;m;a;t;e;,; ;b;u;d;g;e;t",a;l;l;o;w;/;b;l;o;c;k,Safety exempt from cost throttle; non-safety must narrow,IMPLEMENTED_FOUNDATION
ALG-BCK-035,Latest canonical read-model materialization,Backend/Query Plane,P1,backend/read-model-builder.js,latest updated/observed record wins per identity,c;a;n;o;n;i;c;a;l; ;r;e;c;o;r;d;s,v;e;r;s;i;o;n;e;d; ;r;e;a;d; ;m;o;d;e;l,Read model never replaces raw/canonical history,IMPLEMENTED_FOUNDATION
ALG-BCK-036,Cache freshness predicate,Backend/Query Plane,P0,backend/cache-policy.js,storedAt + ttl > now,c;a;c;h;e; ;e;n;t;r;y,f;r;e;s;h; ;b;o;o;l;e;a;n,Stale status stays explicit,IMPLEMENTED_FOUNDATION
